"Policy_ID","Account_Name","Occupancy_Type","Construction_Type","Protection_Class","Sprinklered","Building_Age_Years","TIV_Band","Account_Significance","Wind_Hail_Exposure","Flood_Zone","Region","Transaction_Type","Underwriter","Underwriting_Assistant","Submission_Date","Target_Issuance_Date","Actual_Issuance_Date","Policy_Status","Days_Outstanding","Aging_Bucket","Outstanding_Item","Next_Action_Owner","Recommended_Next_Action","Renewal_Date","Attention_Score","Priority","Score_Driver"
"CPU-210001","Foxridge Holdings","Retail/Mercantile","Frame","3","Partial","38","$25M-$50M","Notable","Low","Zone X - Minimal","Midwest","Renewal","L. Marquez","P. Trang","2026-07-31","2026-09-13","","Quoted - Awaiting Response","17","16-30 days","None","Broker/Agent","Follow up with broker on quote decision","2026-10-07","32","Low","Aged 16-30 days outstanding"
"CPU-210002","Ironwood Apartments","Warehouse & Distribution","Joisted Masonry","5","No","18","$25M-$50M","Notable","Moderate","Zone AE - High-Risk","South Central","Endorsement","L. Marquez","B. Ruiz","2026-07-18","2026-08-19","","Issuance In Progress","30","16-30 days","None","Underwriting Assistant","Finalize issuance paperwork","2027-07-18","52","Medium","Target issuance date due within 5 days"
"CPU-210003","Union Grove Distribution Group","Retail/Mercantile","Joisted Masonry","4","Partial","1","$10M-$25M","Standard","Low","Zone A - Moderate","Midwest","Renewal","R. Okafor","C. Feldman","2026-08-06","2026-09-10","","Bound - Pending Issuance","11","11-15 days","None","Underwriting Assistant","Route to issuance / complete policy documents","2026-09-25","23","Low","Routine - no single dominant factor"
"CPU-210004","Millbrook Fabrication","Warehouse & Distribution","Masonry Non-Combustible","9","Yes","52","$1M-$5M","Standard","Low","Zone X - Minimal","Northeast","New Business","D. Whitfield","N. Osei","2026-07-04","2026-08-13","","Issuance In Progress","44","30+ days","None","Underwriting Assistant","Finalize issuance paperwork","2027-07-04","68","High","Overdue vs. target issuance date"
"CPU-210005","Union Grove Realty Partners","Warehouse & Distribution","Frame","6","No","4","$10M-$25M","Standard","Low","Zone A - Moderate","Midwest","Renewal","J. Alvarez","B. Ruiz","2026-08-05","2026-09-03","","In Underwriting Review","12","11-15 days","None","Underwriter","Complete risk assessment and pricing","2026-10-09","30","Low","Next action sits with the underwriter"
"CPU-210006","Meridian Plastics Inc.","Habitational (Multifamily)","Joisted Masonry","3","No","74","$10M-$25M","Standard","Low","Zone A - Moderate","Midwest","Renewal","S. Patel","H. Buckley","2026-08-07","2026-08-22","2026-08-16","Issued","9","6-10 days","None","None","None - closed","2026-10-02","0","N/A","Closed"
"CPU-210007","Grandview Logistics Center","Habitational (Multifamily)","Joisted Masonry","10","Yes","49","$1M-$5M","Standard","High","Zone A - Moderate","West","Endorsement","T. Novak","A. Lindqvist","2026-07-23","2026-08-30","2026-08-16","Issued","24","16-30 days","None","None","None - closed","2027-07-23","0","N/A","Closed"
"CPU-210008","Ironwood Manufacturing","Warehouse & Distribution","Non-Combustible","4","Yes","37","$1M-$5M","Standard","High","Zone VE - Coastal High-Risk","Northeast","New Business","M. Chen","N. Osei","2026-08-01","2026-09-13","2026-08-16","Cancelled/Declined","15","11-15 days","None","None","None - closed","2027-08-01","0","N/A","Closed"
"CPU-210009","Oakhollow Business Park","Retail/Mercantile","Frame","9","Yes","34","$5M-$10M","Standard","Low","Zone X - Minimal","Midwest","Renewal","M. Chen","H. Buckley","2026-08-01","2026-08-28","2026-08-16","Issued","15","11-15 days","None","None","None - closed","2026-09-06","0","N/A","Closed"
"CPU-210010","Lakeshore Hospitality Group","Retail/Mercantile","Modified Fire-Resistive","5","Partial","71","$100M+","Significant","Low","Zone X - Minimal","South Central","New Business","T. Novak","H. Buckley","2026-08-09","2026-09-18","","On Hold - Missing Information","8","6-10 days","4-Point inspection required (roof/HVAC/electrical/plumbing)","Loss Control/Inspector","Order 4-point inspection; hold for results before binding","2027-08-09","43","Medium","Hard blocker: 4-Point inspection required (roof/HVAC/electrical/plumbing)"
